apyg,candidate,candidateUrl,totalBefore,totalAfter,posAfter,posBefore
Senamiesčio,Juzef KVETKOVSKIJ,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas68435/Kandidato68435Anketa.html,2318,1964,4,5
Senamiesčio,Nijolė JAGELAVIČIENĖ,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas67919/Kandidato67919Anketa.html,2291,1942,5,6
Senamiesčio,Gintaras SONGAILA,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas68293/Kandidato68293Anketa.html,1100,915,7,7
Senamiesčio,Raimonda KAROSAITĖ,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas66518/Kandidato66518Anketa.html,872,731,8,8
Senamiesčio,Justinas NAVIKAS,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas68749/Kandidato68749Anketa.html,435,373,9,9
Senamiesčio,Nora RIBOKIENĖ,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas69754/Kandidato69754Anketa.html,355,301,10,10
Senamiesčio,Marija TAMKEVIČIŪTĖ,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas66957/Kandidato66957Anketa.html,303,251,11,11
Senamiesčio,Eglė VOLUNGEVIČIŪTĖ,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas68882/Kandidato68882Anketa.html,170,139,12,12
Senamiesčio,Gražina BOGDANSKIENĖ,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas67640/Kandidato67640Anketa.html,109,97,13,13
Senamiesčio,Gintaras GURČINAS,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas70027/Kandidato70027Anketa.html,64,48,14,14
Antakalnio,Andrius KUBILIUS,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas67287/Kandidato67287Anketa.html,7336,7336,1,1
Antakalnio,Aurelija STANCIKIENĖ,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas66670/Kandidato66670Anketa.html,2683,2683,2,2
Antakalnio,Juras POŽELA,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas66822/Kandidato66822Anketa.html,2531,2531,3,3
Antakalnio,Tadeuš LAVRYNOVIČ,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas68464/Kandidato68464Anketa.html,2158,2158,4,4
Antakalnio,Gintaras TAMOŠIŪNAS,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas67949/Kandidato67949Anketa.html,2027,2027,5,5
Antakalnio,Mindaugas LAPINSKAS,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas67080/Kandidato67080Anketa.html,1541,1541,6,6
Antakalnio,Martynas NAGEVIČIUS,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas68151/Kandidato68151Anketa.html,1087,1087,7,7
Antakalnio,Gintautas BABRAVIČIUS,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas69732/Kandidato69732Anketa.html,1012,1012,8,8
Antakalnio,Kazys ZULONAS,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas66496/Kandidato66496Anketa.html,763,763,9,9
Antakalnio,Aurimas Paulius GIRČYS,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas68750/Kandidato68750Anketa.html,620,620,10,10
Antakalnio,Tomas BAKUČIONIS,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas68365/Kandidato68365Anketa.html,562,562,11,11
Antakalnio,Natalja VIKTOROVA,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas69120/Kandidato69120Anketa.html,389,389,12,12
Antakalnio,Valentina IVANOVA,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas70016/Kandidato70016Anketa.html,198,198,13,13
Antakalnio,Vytautas BENIUŠIS,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas68853/Kandidato68853Anketa.html,171,171,14,14
Antakalnio,Mindaugas VALKIŪNAS,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas67644/Kandidato67644Anketa.html,75,75,15,15
Antakalnio,Indrė JANKAUSKIENĖ,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas67759/Kandidato67759Anketa.html,72,72,16,16
Žirmūnų,Vytenis Povilas ANDRIUKAITIS,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas66818/Kandidato66818Anketa.html,5024,4414,1,1
Žirmūnų,Vilija ALEKNAITĖ ABRAMIKIENĖ,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas67300/Kandidato67300Anketa.html,4404,3890,2,2
Žirmūnų,Šarūnas GUSTAINIS,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas67089/Kandidato67089Anketa.html,2802,2496,3,3
Žirmūnų,Renata CYTACKA,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas68473/Kandidato68473Anketa.html,2220,2018,4,4
Žirmūnų,Gediminas DALINKEVIČIUS,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas67898/Kandidato67898Anketa.html,2169,1986,5,5
Žirmūnų,Algis ČAPLIKAS,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas69724/Kandidato69724Anketa.html,1493,1326,7,6
Žirmūnų,Jonas JUODKA,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas68145/Kandidato68145Anketa.html,1485,1350,6,7
Žirmūnų,Julius GIRDVAINIS,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas70047/Kandidato70047Anketa.html,1335,1170,8,8
Žirmūnų,Ramojus GIRINSKAS,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas66523/Kandidato66523Anketa.html,763,693,9,9
Žirmūnų,Liudvikas JAKIMAVIČIUS,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas69848/Kandidato69848Anketa.html,627,563,10,10
Žirmūnų,Arminas MOCKEVIČIUS,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas68760/Kandidato68760Anketa.html,533,475,11,11
Žirmūnų,Julius PANKA,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas68298/Kandidato68298Anketa.html,315,286,12,12
Žirmūnų,Aušra ABRAMAVIČIENĖ,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas67675/Kandidato67675Anketa.html,201,183,13,13
Žirmūnų,Raimondas BENUŠIS,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas68872/Kandidato68872Anketa.html,177,167,14,14
Žirmūnų,Remigijus SABALIAUSKAS,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas67771/Kandidato67771Anketa.html,132,112,15,15
Žirmūnų,Rimantas JUREVIČIUS,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas69930/Kandidato69930Anketa.html,61,57,16,16
Fabijoniškių,Dainius KREIVYS,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas67304/Kandidato67304Anketa.html,4394,3780,1,1
Fabijoniškių,Artūras PAULAUSKAS,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas67885/Kandidato67885Anketa.html,4131,3736,2,2
Fabijoniškių,Dalia KUODYTĖ,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas67069/Kandidato67069Anketa.html,3027,2552,3,3
Fabijoniškių,Gžegož SAKSON,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas68475/Kandidato68475Anketa.html,2066,1920,4,4
Fabijoniškių,Žilvinas ŠILGALIS,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas68126/Kandidato68126Anketa.html,1800,1548,5,5
Fabijoniškių,Auksė KONTRIMIENĖ,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas66834/Kandidato66834Anketa.html,1718,1544,6,6
Fabijoniškių,Raimondas ŠUKYS,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas69729/Kandidato69729Anketa.html,1702,1463,7,7
Fabijoniškių,Daugardas GRUODIS,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas66676/Kandidato66676Anketa.html,1376,1254,8,8
Fabijoniškių,Dailis Alfonsas BARAKAUSKAS,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas66460/Kandidato66460Anketa.html,853,801,9,9
Fabijoniškių,Jonas VALATKA,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas68362/Kandidato68362Anketa.html,681,600,10,10
Fabijoniškių,Andrius MULEVIČIUS,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas68741/Kandidato68741Anketa.html,474,432,11,11
Fabijoniškių,Vladas KASPARAVIČIUS,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas69105/Kandidato69105Anketa.html,300,284,12,12
Fabijoniškių,Joana TAMKEVIČIŪTĖ,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas66958/Kandidato66958Anketa.html,264,228,13,13
Fabijoniškių,Rūta JACEVIČIENĖ,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas68874/Kandidato68874Anketa.html,197,178,14,14
Fabijoniškių,Rimas KANČYS,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas67705/Kandidato67705Anketa.html,78,70,15,15
Fabijoniškių,Tirkišas AMANOVAS,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas67211/Kandidato67211Anketa.html,63,60,16,16
Fabijoniškių,Regina MIKALAUSKIENĖ,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas69979/Kandidato69979Anketa.html,52,47,17,17
Šeškinės,Audronius AŽUBALIS,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas67294/Kandidato67294Anketa.html,4838,4224,1,1
Šeškinės,Zbigniev MACIEJEVSKI,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas68446/Kandidato68446Anketa.html,3614,3186,2,2
Šeškinės,Algirdas SYSAS,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas66821/Kandidato66821Anketa.html,3378,3064,3,3
Šeškinės,Vytautas GRICIUS,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas67936/Kandidato67936Anketa.html,3183,2818,4,4
Šeškinės,Valdas VASILIAUSKAS,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas66661/Kandidato66661Anketa.html,2043,1790,5,5
Šeškinės,Arūnas ŠTARAS,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas67078/Kandidato67078Anketa.html,1529,1363,6,6
Šeškinės,Gediminas RUDŽIONIS,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas66483/Kandidato66483Anketa.html,1303,1177,7,7
Šeškinės,Ligitas KERNAGIS,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas68129/Kandidato68129Anketa.html,993,862,8,8
Šeškinės,Liudas BRADAUSKAS,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas68366/Kandidato68366Anketa.html,726,641,9,9
Šeškinės,Regimantas ČIUPAILA,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas69734/Kandidato69734Anketa.html,595,528,10,10
Šeškinės,Andrejus GAIDAMAVIČIUS,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas68733/Kandidato68733Anketa.html,503,448,11,11
Šeškinės,Jolita ALEKSEJŪNIENĖ,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas69948/Kandidato69948Anketa.html,204,181,12,12
Šeškinės,Asta NAZAROVIENĖ,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas68865/Kandidato68865Anketa.html,119,107,13,13
Šeškinės,Vytautas Aleksas LAZINKA,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas67754/Kandidato67754Anketa.html,118,105,14,14
Šeškinės,Laimis BIKAUSKAS,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas67682/Kandidato67682Anketa.html,89,80,15,15
Justiniškių,Paulius SAUDARGAS,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas67295/Kandidato67295Anketa.html,4600,3343,1,1
Justiniškių,Sofija MATAREVIČ,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas68486/Kandidato68486Anketa.html,3351,2750,2,2
Justiniškių,Gediminas KIRKILAS,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas66826/Kandidato66826Anketa.html,3039,2393,3,3
Justiniškių,Edmundas VAITEKŪNAS,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas67974/Kandidato67974Anketa.html,2715,2134,4,4
Justiniškių,Vytautas Antanas MATULEVIČIUS,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas66666/Kandidato66666Anketa.html,2379,1828,5,5
Justiniškių,Linas KVEDARAVIČIUS,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas67087/Kandidato67087Anketa.html,2320,1697,6,6
Justiniškių,Rūta VANAGAITĖ,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas68131/Kandidato68131Anketa.html,1527,1153,7,7
Justiniškių,Rimantas REMEIKA,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas69743/Kandidato69743Anketa.html,1406,1102,8,8
Justiniškių,Algimantas JUOCEVIČIUS,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas66503/Kandidato66503Anketa.html,967,738,9,9
Justiniškių,Gediminas NAVAITIS,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas68296/Kandidato68296Anketa.html,685,520,10,10
Justiniškių,Virginija VINGRIENĖ,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas68649/Kandidato68649Anketa.html,576,409,11,11
Justiniškių,Rūta JANKAUSKIENĖ,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas68875/Kandidato68875Anketa.html,281,216,12,12
Justiniškių,Svetlana MARTINKO,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas69963/Kandidato69963Anketa.html,215,172,13,13
Justiniškių,Emilis MIKELĖNAS,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas67775/Kandidato67775Anketa.html,83,66,14,14
Justiniškių,Artemij SITENKOV,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas67704/Kandidato67704Anketa.html,81,62,15,15
Karoliniškių,Danutė BEKINTIENĖ,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas67333/Kandidato67333Anketa.html,4821,3795,1,1
Karoliniškių,Linas BALSYS,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas67514/Kandidato67514Anketa.html,4116,3370,2,2
Karoliniškių,Vanda KRAVČIONOK,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas68433/Kandidato68433Anketa.html,3211,2472,3,3
Karoliniškių,Valdas SKARBALIUS,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas67897/Kandidato67897Anketa.html,2624,2042,4,4
Karoliniškių,Jurgis JURKEVIČIUS,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas66920/Kandidato66920Anketa.html,1918,1446,5,5
Karoliniškių,Stasys BRUNDZA,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas66664/Kandidato66664Anketa.html,1666,1278,6,6
Karoliniškių,Alvydas MEDALINSKAS,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas68029/Kandidato68029Anketa.html,1273,977,8,7
Karoliniškių,Ilona GRIGARAVIČIENĖ,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas67111/Kandidato67111Anketa.html,1268,998,7,8
Karoliniškių,Almantas PETKUS,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas66469/Kandidato66469Anketa.html,858,657,9,9
Karoliniškių,Laimas DIENINIS,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas68142/Kandidato68142Anketa.html,703,550,10,10
Karoliniškių,Vytautas BERNATONIS,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas69096/Kandidato69096Anketa.html,683,537,11,11
Karoliniškių,Virginija APANAVIČIENĖ,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas68712/Kandidato68712Anketa.html,400,307,12,12
Karoliniškių,Mantas PANAVAS,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas69762/Kandidato69762Anketa.html,321,257,13,13
Karoliniškių,Juozas VASILIAUSKAS,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas68866/Kandidato68866Anketa.html,154,113,14,14
Karoliniškių,Albina KAVALIAUSKAITĖ,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas67647/Kandidato67647Anketa.html,127,94,15,15
Karoliniškių,Angelina LABANAUSKIENĖ,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas67767/Kandidato67767Anketa.html,95,81,16,16
Karoliniškių,Audrius JASIONIS,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas70007/Kandidato70007Anketa.html,92,75,17,17
Lazdynų,Algis STRELČIŪNAS,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas67374/Kandidato67374Anketa.html,4861,4091,1,1
Lazdynų,Gintaras STEPONAVIČIUS,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas67068/Kandidato67068Anketa.html,3765,2943,2,2
Lazdynų,Romualda POŠEVECKAJA,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas68438/Kandidato68438Anketa.html,3109,2353,3,3
Lazdynų,Jonas PINSKUS,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas68019/Kandidato68019Anketa.html,2852,1973,4,4
Lazdynų,Romas ADOMAVIČIUS,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas66861/Kandidato66861Anketa.html,1610,1199,5,5
Lazdynų,Vytautas BUDNIKAS,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas66672/Kandidato66672Anketa.html,1369,1092,6,6
Lazdynų,Algirdas GENEVIČIUS,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas66516/Kandidato66516Anketa.html,840,633,7,7
Lazdynų,Saulius PAUKŠTYS,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas68201/Kandidato68201Anketa.html,724,509,9,8
Lazdynų,Kazimieras UOKA,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas68294/Kandidato68294Anketa.html,694,530,8,9
Lazdynų,Jurgita GINTAUTAITĖ,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas69753/Kandidato69753Anketa.html,653,508,10,10
Lazdynų,Olegas RATIUKAS,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas69110/Kandidato69110Anketa.html,472,394,11,11
Lazdynų,Vidmantas ŽIEMELIS,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas68832/Kandidato68832Anketa.html,327,245,12,12
Lazdynų,Oksana ROKAŠEVIČ,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas68743/Kandidato68743Anketa.html,321,242,13,13
Lazdynų,Anželika JANKOVSKAJA,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas70006/Kandidato70006Anketa.html,167,113,14,14
Lazdynų,Rytis ZABIELSKAS,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas67685/Kandidato67685Anketa.html,125,99,15,15
Lazdynų,Sigitas VAIŠNORAS,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas67760/Kandidato67760Anketa.html,79,56,16,16
Naujosios Vilnios,Tadeuš ANDŽEJEVSKI,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas68487/Kandidato68487Anketa.html,4071,3440,1,1
Naujosios Vilnios,Sergej URSUL,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas67931/Kandidato67931Anketa.html,2697,2160,2,2
Naujosios Vilnios,Algirdas PALECKIS,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas69094/Kandidato69094Anketa.html,2449,2073,3,3
Naujosios Vilnios,Artūras MELIANAS,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas69727/Kandidato69727Anketa.html,2377,1864,4,4
Naujosios Vilnios,Emanuelis ZINGERIS,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas67307/Kandidato67307Anketa.html,2126,1774,5,5
Naujosios Vilnios,Tatjana RINKEVIČIENĖ,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas66857/Kandidato66857Anketa.html,1462,1199,6,6
